0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,

Node A running in test, with test running for 2 minutes, messages generated twice per second



1,21.53.53,3.064,3,35940, 23358, 824, 24325, 16446, 41263,
1,21.55.15,85.342,3,5083, 7808, 27083, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 25481, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.15,85.854,3,5083, 7808, 27083, 30669, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.16,86.366,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.17,86.877,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 24325, 26048, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.17,87.389,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 24325, 26048, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.18,87.901,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 24325, 26048, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.18,88.413,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 24325, 26048, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.19,88.924,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 24325, 26048, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.19,89.34,1,RTSAntiEntropy,Starting to send RTS...

1,21.55.19,89.347,2,sendRTS,1,2,1,

1,21.55.21,91.509,1,RTSAntiEntropy,CTS recieved - sending data frames

1,21.55.21,91.543,1,RTSSendDataFrames,Need to sync data! Starting to send

1,21.55.21,91.556,2,RTSSendDataFrames,1,2,3,

1,21.55.21,91.668,2,RTSSendDataFrames,1,2,3,

1,21.55.21,91.781,2,RTSSendDataFrames,1,2,3,

1,21.55.22,91.893,2,RTSSendDataFrames,1,2,3,

1,21.55.28,97.961,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 24325, 26048, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.28,97.968,2,sendHello,1,,0,

1,21.55.28,98.488,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 24325, 26048, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.29,98.999,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 22736, 16446, 45004, 24325, 26048, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.29,99.511,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 22736, 16446, 45004, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.30,100.023,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 34160, 22736, 16446, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.30,100.535,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 34160, 22736, 16446, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.31,101.012,1,RTSAntiEntropy,Starting to send RTS...

1,21.55.31,101.019,2,sendRTS,1,2,1,

1,21.55.33,103.18,1,RTSAntiEntropy,CTS recieved - sending data frames

1,21.55.33,103.214,1,RTSSendDataFrames,Need to sync data! Starting to send

1,21.55.33,103.226,2,RTSSendDataFrames,1,2,3,

1,21.55.33,103.338,2,RTSSendDataFrames,1,2,3,

1,21.55.33,103.451,2,RTSSendDataFrames,1,2,3,

1,21.55.33,103.563,2,RTSSendDataFrames,1,2,3,

1,21.55.39,109.628,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 34160, 22736, 16446, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.40,110.14,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 34160, 27793, 22736, 16446, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.40,110.652,3,5083, 7808, 27083, 30669, 2224, 17543, 14876, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 34160, 27793, 22736, 16446, 24325, 26048, 59740, 33202, 25595, 10427, 59416, 19930, 34776, 2624, 28000,

