6,17.26.8,102.594,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.6,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.606,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.612,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.71,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.717,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.723,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.729,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.735,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.741,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.838,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.844,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.85,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.856,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.862,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.869,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.9,102.96,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.31,125.647,4,RTSSendDataFrames,Data frame not received
6,17.26.31,125.652,6,False
6,17.26.31,125.657,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.31,125.672,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.31,125.686,2,sendHello,6,,0
6,17.26.32,125.808,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.32,126.153,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.32,126.171,2,sendRTS,6,8,1
6,17.26.32,126.61,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.32,126.617,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.32,126.622,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.32,126.628,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.719,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.725,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.731,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.737,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.743,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.832,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.839,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.845,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.851,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.857,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.863,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.954,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.96,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.966,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.972,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.978,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,126.984,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.08,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.087,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.093,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.099,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.105,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.111,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.204,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.211,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.33,127.217,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.41,135.647,6,True
