0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
9,17.26.34,108.149,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.34,108.563,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.34,108.784,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.35,108.976,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.35,109.622,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.35,109.81,2,sendHello,9,,0
9,17.26.36,109.944,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.36,110.275,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.37,111.803,4,CTSAntiEntropy,No data frames received, CTS timeout!!
9,17.26.37,111.808,6,False
9,17.26.37,111.812,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.38,111.941,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.38,112.588,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.39,113.236,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.39,113.882,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.40,114.527,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.41,115.076,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.41,115.239,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.41,115.887,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.42,116.093,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.42,116.241,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.42,116.449,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.42,116.493,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.43,117.2,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.44,117.955,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.44,118.602,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.45,119.249,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.45,119.478,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.45,119.685,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.45,119.821,2,sendHello,9,,0
9,17.26.46,119.955,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.46,120.263,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.46,120.501,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.46,120.684,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.48,122.244,4,CTSAntiEntropy,No data frames received, CTS timeout!!
9,17.26.48,122.249,6,False
